Incident ID,State,City Or County,Address,City,County
1021788,Mississippi,Hattiesburg,6168 US 49,Hattiesburg,
1020574,Arkansas,Brinkley,615 W 6th St,Brinkley,
1018295,Alabama,Huntsville,2025 Sparkman Dr NW,Huntsville,
1582816,Illinois,Danville,1803 block of Westview Ave,Danville,
1582197,New York,Buffalo,50 block of Henrietta Ave,Buffalo,
1583444,California,Ceres,800 block of Allacante Dr,Ceres,
1581590,California,Modesto,1900 block of Vernon Ave,Modesto,
1581103,Texas,Houston,500 block of Smart St,Houston,
1581476,Georgia,Kennesaw,1575 Ridenour Pkwy NW,Kennesaw,
1580308,Florida,Saint Petersburg,4300 6th St S,,Saint Petersburg
1579889,California,Oakland,2100 block of 34th Ave,Oakland,
1579970,Iowa,Coralville,954 Boston Way,Coralville,
1579856,Virginia,Richmond,1800 E Main St,Richmond,
1579266,Louisiana,New Orleans,6400 block of General Meyer Ave,New Orleans,
1594317,Illinois,Joliet,1200 block of Cutter Ave,Joliet,
1579220,North Carolina,High Point,1226 Montlieu Ave,High Point,
1577577,Maryland,Baltimore,225 Park Ave,Baltimore,
1577688,Minnesota,Minneapolis (Spring Lake Park),8407 Plaza Blvd NE,,Minneapolis (Spring Lake Park)
1577518,Illinois,Chicago,5700 block of S May St,Chicago,
1578711,Louisiana,Edgard,2555 LA-18,Edgard,
1577046,Mississippi,Waynesboro,Turner St,Waynesboro,
1577438,Alabama,Tuskegee,2900 block of Davison St,Tuskegee,
1575175,Texas,San Antonio,2418 SW Military Dr,San Antonio,
1573754,Montana,Great Falls,1701 10th Ave S,Great Falls,
1572275,Georgia,Columbus,600 block of 32nd St,Columbus,
1573471,California,Ivanhoe,15700 block of Paradise Ave,Ivanhoe,
1571348,Missouri,Saint Louis (Moline Acres),9900 block of Lewis and Clark Blvd,,Saint Louis (Moline Acres)
1568230,New Jersey,Jersey City,223 Martin Luther King Dr,Jersey City,
1567932,Texas,Desoto,200 block of W Wintergreen Rd,Desoto,
1567231,Louisiana,New Orleans,3801 Washington Ave,New Orleans,
1565216,Florida,Pensacola,280 Taylor Rd,Pensacola,
1564524,Alabama,Montgomery,500 Eastdale Rd S,Montgomery,
1562685,Michigan,Kalamazoo,6300 block of Proctor St,Kalamazoo,
1562043,Louisiana,Cotton Valley,116 Hawthorne Loop,Cotton Valley,
1561966,Louisiana,New Orleans,2000 block of N Dorgenois St,New Orleans,
1561813,Illinois,Aurora,700 block of S 5th St,Aurora,
1561734,Louisiana,New Orleans,700 block of Canal St,New Orleans,
1561398,Arkansas,Hensley,6500 block of E Sardis Rd,Hensley,
1560645,Texas,Amarillo,2650 Dumas Dr,Amarillo,
1559257,New York,Bronx,E 153rd St and Courtlandt Ave,Bronx,
1558067,Florida,Brownsville,NW 29th Ave and 44th St,Brownsville,
1557006,Alabama,Birmingham,7 15th St W,Birmingham,
1556633,California,Los Angeles,100 block of E 11th St,Los Angeles,
1556984,Louisiana,Cottonport,3846 LA-29,Cottonport,
1555879,California,Los Angeles,833 S Spring St,Los Angeles,
1556002,Louisiana,Tallulah,Depot St,Tallulah,
1554807,Washington,Everett,120 West Casino Rd,Everett,
1555135,California,Long Beach,1100 block of 10th St,Long Beach,
1554446,California,Richmond,20th St and Roosevelt Ave,Richmond,
1552068,New Jersey,Newark,139 S 8th St,Newark,
1551531,California,Fresno,5361 E Lamona Ave,Fresno,
1551162,Ohio,Cleveland,7100 block of Lawn Ave,Cleveland,
1550546,California,San Diego,2152 Flintridge Dr,San Diego,
1548689,California,Santa Clarita,21900 Centurion Way,Santa Clarita,
1547021,Florida,Belle Glade,SW 7th St,Belle Glade,
1546983,Colorado,Aurora,384 S Ironton St,Aurora,
1546102,Missouri,Kansas City,4704 Independence Ave,Kansas City,
1546038,Tennessee,Memphis,2080 E. Brooks Rd,Memphis,
1546155,Arkansas,Little Rock,3000 block of W 12th St,Little Rock,
1545955,Michigan,Detroit,3800 block of E McNichols Rd,Detroit,
1545152,North Carolina,Charlotte,2700 block of Lytham Dr,Charlotte,
1546508,Georgia,Vidalia,Wiggins St,Vidalia,
1543835,Georgia,Conyers,1800 block of Green St,Conyers,
1541774,Texas,Houston,5000 block of Northridge Dr,Houston,
1540863,Ohio,Toledo,600 block of Magnolia St,Toledo,
1540841,Texas,Nacogdoches,Sandyland Cir and CR 823,Nacogdoches,
1540280,Louisiana,Baton Rouge,137 Taylor St,Baton Rouge,
1540240,Michigan,Detroit,7000 block of E. Kirby,Detroit,
1539572,Arizona,Tolleson,2434 S 86th Ln,Tolleson,
1539557,Texas,San Angelo,1616 S Chadbourne St,San Angelo,
1539347,California,Orinda,114 Lucille Way,Orinda,
1537992,Pennsylvania,Philadelphia,5026 Walton Ave,Philadelphia,
1537672,California,Long Beach,2709 E 7th St,Long Beach,
1537044,Maryland,Baltimore,4700 block of Liberty Heights Ave,Baltimore,
1536787,Maryland,Baltimore,4160 Pimlico Rd,Baltimore,
1536706,Michigan,Detroit,East Outer Dr and Helen St,Detroit,
1535629,Michigan,Lansing,Balfour Dr and W Miller Rd,Lansing,
1535478,Texas,Greenville,2275 US-380,Greenville,
1534704,Oklahoma,Oklahoma City,1900 block of NW 12th St,Oklahoma City,
1533166,Oklahoma,Oklahoma City (Midwest City),7020 E Green Ave,,Oklahoma City (Midwest City)
1531326,South Carolina,Sumter,29 Wesmark Blvd,Sumter,
1530965,Texas,Port Arthur,1100 block of Vicksburg Ave,Port Arthur,
1530407,Pennsylvania,Duquesne,600 block of Priscilla Ave,Duquesne,
1530276,Texas,El Paso,3812 Truman Ave,El Paso,
1527528,Ohio,Columbus,1600 block of Manchester Ave,Columbus,
1525999,Pennsylvania,Philadelphia,W Clearfield St and N 8th St,Philadelphia,
1526952,Ohio,Akron,Main St,Akron,
1525062,New York,Brooklyn,75 Utica Ave,Brooklyn,
1525476,Illinois,Chicago,6733 W Irving Park Rd,Chicago,
1525408,Pennsylvania,Philadelphia,700 block of W Russell St,Philadelphia,
1525628,Maryland,Baltimore,800 block of W Lexington St,Baltimore,
1525265,Michigan,Eastpointe,15163 E 10 Mile Rd,Eastpointe,
1523606,Florida,Tampa,5410 N Falkenburg Rd,Tampa,
1524264,Pennsylvania,Philadelphia,900 block of S 5th St,Philadelphia,
1522979,Massachusetts,Lowell,149 Ennell Street,Lowell,
1523204,Maryland,Baltimore,1600 block of W North Ave,Baltimore,
1521226,Massachusetts,Abington,135 Centre Ave,Abington,
1520425,Indiana,Evansville,1127 Chestnut St,Evansville,
1520499,Colorado,Denver,7100 block of Ruth Way,Denver,
1520330,Kansas,Kansas City,1013 Central Ave,Kansas City,
1520547,Missouri,Saint Louis,10035 Crown Point Dr,,Saint Louis
1519090,North Carolina,Roxboro,700 South Foushee St,Roxboro,
1518859,Missouri,Marshall,S Olson Ave,Marshall,
1517804,Missouri,Saint Louis,Leonor K. Sullivan Blvd and Poplar St,,Saint Louis
1515312,Illinois,Round Lake (Round Lake Park),500 block of Fairlawn Ave,,Round Lake (Round Lake Park)
1515242,Wisconsin,Milwaukee,1500 block of N 29th St,Milwaukee,
1515128,Florida,Jacksonville,2200 block of Clemente Dr,Jacksonville,
1517360,Kansas,Claflin,1500 block of NE 100th Rd,Claflin,
1515327,Texas,Beaumont,4100 block of Highland Ave,Beaumont,
1511999,Illinois,Chicago,2000 block of South Hoyne Ave,Chicago,
1510411,Indiana,Gary,1600 block of Connecticut St,Gary,
1509721,Missouri,Kansas City,2111 Television Plaza,Kansas City,
1509411,Louisiana,New Orleans,Poland Ave and St. Claude Ave,New Orleans,
1508804,South Carolina,Lancaster,1399 Old Charlotte Rd,Lancaster,
1512486,Ohio,Cleveland,3616 East 144th St,Cleveland,
1509510,Indiana,Indianapolis,101 W Maryland St,Indianapolis,
1508859,Louisiana,New Orleans,Canal Blvd and City Park Ave,New Orleans,
1507939,Washington,Washington,1300 block of Columbia Rd NW,Washington,
1507156,Illinois,Chicago,4200 block of W Madison St,Chicago,
1507092,California,Wilmington,800 block of Bayview Ave,Wilmington,
1505354,Wyoming,Cheyenne,3436 E 11th St,Cheyenne,
