Incident ID,State,City Or County,Address,City,County
803689,Ohio,Cleveland,E 75th St,Cleveland,
803822,Texas,Houston,5619 Aldine Bender Rd,Houston,
803054,Ohio,Cincinnati,4601 Kellogg Ave,Cincinnati,
802926,Tennessee,Knoxville,Minnesota Ave,Knoxville,
803460,Michigan,Detroit,8443 Grand River Ave,Detroit,
802837,Ohio,Cleveland,E 79th St and Woodland Ave,Cleveland,
802425,California,Fresno,300 block of South Villa Avenue,Fresno,
802240,Missouri,Saint Louis,5100 block of Palm St,,Saint Louis
800363,Wisconsin,Rothschild,1133 E Grand Ave,Rothschild,
797553,Kentucky,Louisville,1512 Portland Avenue,Louisville,
797125,Michigan,Detroit,16000 block of Rutherford,Detroit,
794468,Louisiana,Metairie,2508 Pasadena Ave,Metairie,
791298,Illinois,Chicago,123 E 51st St,Chicago,
791274,Louisiana,New Orleans (Gentilly),4200 block of Touro St,,New Orleans (Gentilly)
789798,Illinois,Chicago,W 76th St and S May St,Chicago,
789424,Georgia,Columbus,600 block of 32nd Street,Columbus,
787875,Kansas,Topeka,SE Bellview Ave and SE 23rd St,Topeka,
787801,California,Sacramento,2500 block of 33rd St,Sacramento,
786876,Pennsylvania,Philadelphia,7165 Germantown Ave,Philadelphia,
787435,California,Riverside,8300 block of Trey Ave,Riverside,
785262,Ohio,Cincinnati,1700 of Casey Dr,Cincinnati,
783963,Virginia,Newport News,11810 Fountain Way,Newport News,
783623,Indiana,Gary,1700 Grant St,Gary,
783102,Ohio,Warren,1564 Niles Cortland Rd SE,Warren,
783090,Florida,Jacksonville,3604 Moncrief Rd,Jacksonville,
780792,New York,Rochester,191 Genesee St,Rochester,
780036,Ohio,Cleveland,16700 Lorain Ave,Cleveland,
779582,Mississippi,Toomsuba,Butts Road,Toomsuba,
778941,Ohio,Cleveland,1082 East 105th Street,Cleveland,
778182,Virginia,Norfolk,Church Street and East Virginia Beach Blvd,Norfolk,
777876,Pennsylvania,Philadelphia,50 block of N Conestoga St,Philadelphia,
777410,Indiana,South Bend,1000 block of Yukon St,South Bend,
775903,California,Salinas,30 Soledad Street,Salinas,
775531,Illinois,Chicago,3949 South Albany Avenue,Chicago,
773002,Missouri,Caruthersville,908 Truman Blvd,Caruthersville,
773162,New York,Newburgh,253 South William Street,Newburgh,
773908,Florida,Greenville,Church Ave and Obadiah St,Greenville,
772753,Illinois,Chicago,100 block of N Mayfield,Chicago,
772989,Tennessee,Savannah,Clifton Road and Midway Drive,Savannah,
772067,Louisiana,New Orleans,2nd St and Dryades St,New Orleans,
769889,Ohio,Cleveland,16379 Euclid Ave,Cleveland,
769511,South Carolina,Columbia,5500 block of Fairfield Road,Columbia,
769859,Arkansas,Little Rock,25 Par Drive,Little Rock,
768243,Mississippi,Yazoo City,11th Street,Yazoo City,
765559,Tennessee,Memphis,1576 S White Station Rd,Memphis,
765153,Washington,Washington,2900 block of Martin Luther King Jr Ave SE,Washington,
764020,Minnesota,Minneapolis (Crystal),5410 Lakeland Ave N,,Minneapolis (Crystal)
763313,Louisiana,Shreveport,6363 Hearne Ave,Shreveport,
1025158,Washington,Bremerton,Tenino Dr W,Bremerton,
761973,Tennessee,Brownsville,221 Morgan St,Brownsville,
760482,Georgia,Albany,1510 Maryland Drive,Albany,
760259,Illinois,Chicago,500 block of E 75th St,Chicago,
757158,Texas,Manvel,200 block of Oak Shore Dr,Manvel,
757032,Illinois,Chicago (Englewood),1800 block of W 63rd,,Chicago (Englewood)
757001,Georgia,Atlanta,2841 Greenbriar Pkwy SW,Atlanta,
756801,Georgia,Jonesboro,6510 Tara Blvd,Jonesboro,
756526,Florida,Boynton Beach,500 NE 2nd St,Boynton Beach,
756504,Tennessee,Memphis,500 block of Delta Road,Memphis,
757955,Mississippi,Como,Smart Road,Como,
756015,California,Fresno,4700 block of E Montecito Ave,Fresno,
752756,Texas,Houston,8535 Martin Luther King Boulevard,Houston,
752222,Florida,Miami,6011 NW 32nd Ave,Miami,
752249,Colorado,Capulin,County Road Y,Capulin,
751367,Mississippi,Magnolia,6000 block of Church Road,Magnolia,
749361,Missouri,Kansas City,8607 E 61st Terrace,Kansas City,
749769,California,Salinas,500 block of Sunrise St,Salinas,
748152,New Jersey,Newark,Hawkins Street and Christie Street,Newark,
748348,Illinois,Chicago,4200 block of S Talman,Chicago,
745236,Michigan,Flint,2500 block of Churchill Ave,Flint,
744799,California,Pasadena,100 block of W Claremont St,Pasadena,
743995,Florida,Fort Lauderdale,100 Terminal Dr,Fort Lauderdale,
742542,California,Fontana,14520 Village Dr,Fontana,
742001,Texas,Allen,500 block of Hawthorne Drive,Allen,
743282,Mississippi,Winstonville,114 North Greyer Street,Winstonville,
739451,Texas,Dallas,9220 Skillman Street,Dallas,
739766,Florida,Miami,8000 block of NW 14th Ave,Miami,
1289686,Ohio,Cleveland,4462 Denison Ave,Cleveland,
1288376,Ohio,Lima,904 S Main St,Lima,
1287286,Missouri,Saint Charles,150 Whetstone Dr,Saint Charles,
1284586,Louisiana,Lutcher,2176 Main St,Lutcher,
1283229,Missouri,Springfield,1042 W College St,Springfield,
1282704,Nevada,Las Vegas,3528 S Maryland Pkwy,Las Vegas,
1279617,Maryland,Baltimore,3942 Park Heights Ave,Baltimore,
1277327,Florida,Miami,239 NW 16th St,Miami,
1277411,Colorado,Colorado Springs,700 block of Geiger Ct,Colorado Springs,
1276091,Pennsylvania,Philadelphia,4505 N Broad St,Philadelphia,
1276298,Louisiana,Natchitoches,Caspari St and University Pkwy,Natchitoches,
1272855,Wisconsin,Madison,3554 E Washington Ave,Madison,
1273161,California,Inglewood,801 S Inglewood Ave,Inglewood,
1272106,New York,Corona (Queens),89-25 130th St,,Corona (Queens)
1267682,Florida,Miami,NW Fifth Ave and NW Eighth St,Miami,
1266937,Tennessee,Powell,Tammy Dr,Powell,
1262814,Alabama,Demopolis,Floyd St and Field St,Demopolis,
1263332,California,Oakland,1000 block of 24th St,Oakland,
1263086,Texas,Houston,4500 block of Yale St,Houston,
1262013,Florida,Miami,5801 NW 27th Ave,Miami,
1261351,Indiana,Fort Wayne,6100 block of Downingtown Dr,Fort Wayne,
1260525,Missouri,Saint Louis,4200 block of Shreve Ave,,Saint Louis
1258777,Colorado,Denver,1200 21st Street,Denver,
1258804,Pennsylvania,Philadelphia,5100 block of Malcolm St,Philadelphia,
1258009,California,Los Angeles (Watts),95th St and Defiance Ave,,Los Angeles (Watts)
1257508,Arkansas,Little Rock,4405 W 14th St,Little Rock,
1256435,Louisiana,Baton Rouge,4896 Gus Young Ave,Baton Rouge,
1254225,New Mexico,Gallup,CR 1 and Defiance Draw Rd,Gallup,
1254084,North Carolina,Dunn,4640 Woods Crossroads Rd,Dunn,
1253361,Arizona,Globe,598 N Broad St,Globe,
1249561,California,Thousand Oaks,99 Rolling Oaks Dr,Thousand Oaks,
1246727,New York,Watertown,136 Franklin St,Watertown,
1247019,California,Long Beach (North Long Beach),5800 block of Brayton Ave,,Long Beach (North Long Beach)
1246489,Florida,Tallahassee,1950 Thomasville Rd,Tallahassee,
1245274,Missouri,Springfield,906 E Locust St,Springfield,
1245703,Minnesota,Minneapolis,3400 block of Girard Ave N,Minneapolis,
1244754,Michigan,Detroit,19000 block of Langholm St,Detroit,
1246059,California,Vallejo,Woodrow Ave and Reis Ave,Vallejo,
1244424,California,Los Angeles,65th Place and Vermont Avenue,Los Angeles,
1243331,California,Riverside,3252 Mission Inn Ave,Riverside,
1243010,Arkansas,El Dorado,2 Whites Quarters,El Dorado,
1242807,Tennessee,Memphis,4275 Lady Slipper Ln,Memphis,
1241819,Pennsylvania,Pittsburgh,5898 Wilkins Ave,Pittsburgh,
1242443,New Jersey,Jersey City,77 Brinkerhoff St,Jersey City,
1240751,Illinois,Chicago,6200 block of S King Dr,Chicago,
1238603,Illinois,Chicago,9231 S Cottage Grove Av,Chicago,
1237930,Florida,Jacksonville,900 block of A Philip Randolph Blvd,Jacksonville,
1238052,Washington,Lakewood,8722 S Tacoma Way,Lakewood,
1234087,Georgia,Atlanta,Broad St,Atlanta,
1233663,Tennessee,Columbia,1075 Carters Creek Pike,Columbia,
1232554,Texas,Fort Worth,5310 E Rosedale St,Fort Worth,
1233563,Nevada,Las Vegas,2815 W Lake Mead Blvd,Las Vegas,
1233068,California,Palo Alto (East Palo Alto),2500 block of Pulgas Ave,,Palo Alto (East Palo Alto)
1232288,Texas,Taft,511 Wilburn St,Taft,
1232018,Missouri,Saint Louis,400 block of Midlothian Road,,Saint Louis
1232044,South Carolina,Spartanburg,1620 John B White Sr Blvd,Spartanburg,
1231385,Nevada,Las Vegas,6500 block of W Charleston Blvd,Las Vegas,
1229738,Alabama,Birmingham,Joppa Ave,Birmingham,
1226923,Oklahoma,Tulsa,9453 E 31st St,Tulsa,
1226853,Texas,Houston,6802 Cullen Blvd,Houston,
1226384,California,Oakland,Williams St and Telegraph Ave,Oakland,
1226179,New Mexico,Espanola (Española),1813 N Riverside Dr,,Espanola (Española)
1225631,Georgia,Swainsboro,Lucky St,Swainsboro,
1223865,South Carolina,Florence,932 Ashton Dr,Florence,
1223755,Pennsylvania,Philadelphia,5101 Germantown Ave,Philadelphia,
1221758,Illinois,Chicago,500 block of S Michigan Ave,Chicago,
1221794,California,Compton,1300 E Palmer St,Compton,
1220912,Florida,Orlando,1700 block of 24th St,Orlando,
1220331,Pennsylvania,Philadelphia,5100 block of Haverford Ave,Philadelphia,
1217150,Tennessee,Memphis,1528 Ragan St,Memphis,
1215954,California,Baldwin Park,3700 block of Loma Lane,Baldwin Park,
1215987,California,Bakersfield,2600 block of Chandler Ct,Bakersfield,
1215904,New York,Hempstead,Dolan St,Hempstead,
1215739,Washington,Washington,1800 block of Benning Rd NE,Washington,
1213926,Maryland,Aberdeen,1501 Perryman Rd,Aberdeen,
1214298,New York,Syracuse,1317 Midland Ave,Syracuse,
1213223,Wisconsin,Middleton,1850 Deming Way,Middleton,
1213836,Illinois,Chicago,W Cermak Rd and S State St,Chicago,
1213293,Pennsylvania,Masontown,1 E Church St,Masontown,
1212984,Louisiana,New Orleans (Algiers),1100 block of Sumner St,,New Orleans (Algiers)
1212567,Tennessee,Memphis,4622 Faronia Rd,Memphis,
1211659,Maryland,Silver Spring,123 Amberleigh Dr,Silver Spring,
1210742,Wisconsin,Milwaukee,820 S 21st St,Milwaukee,
1209006,California,Bakersfield,660 Manwell Blvd,Bakersfield,
1208397,Illinois,Chicago,10600 block of S Bensley Avenue,Chicago,
1206828,Tennessee,Memphis,140 Lt George W Lee Ave,Memphis,
1206409,Illinois,Elgin,550 S McLean Blvd,Elgin,
1206375,Alabama,Auburn,224 W Magnolia St,Auburn,
1206476,Florida,Jacksonville,,Jacksonville,
1206050,Minnesota,Minneapolis,2024 N Washington Ave,Minneapolis,
1204538,Ohio,Cincinnati,511 Walnut St,Cincinnati,
1204486,Georgia,Albany,1200 block of Gillespie Ave,Albany,
1202134,Texas,San Antonio,600 block of Morningview St,San Antonio,
1202274,New Jersey,Paterson,43 12th Ave,Paterson,
1202318,Alabama,Birmingham,500 23rd St S,Birmingham,
1201885,Arkansas,Fort Smith,801 Garrison Ave,Fort Smith,
1202332,California,San Bernardino,1277 East Lynwood Drive,San Bernardino,
1202437,New Jersey,Trenton,Stuyvesant Ave and Bryn Mawr Ave,Trenton,
1201973,Florida,Fort Lauderdale (Lauderhill),5225 NW 24th Ct,,Fort Lauderdale (Lauderhill)
1201135,Ohio,Cleveland,3232 Lakeside Ave East,Cleveland,
1200904,Colorado,Aurora,1900 block of Peoria St,Aurora,
1197278,Arkansas,Pine Bluff,2600 block of W 34th Ave,Pine Bluff,
1196028,Florida,Jacksonville,2 Independent Dr,Jacksonville,
1195537,Virginia,Richmond,4 N 18th St,Richmond,
1196051,Tennessee,Nashville,1564 9th Ave N,Nashville,
1194315,Pennsylvania,Philadelphia,5800 block of Oakland St,Philadelphia,
1194598,Maryland,Baltimore,1700 block of Homestead St,Baltimore,
1194057,Missouri,Saint Louis,I-64 and Jefferson Ave,,Saint Louis
1192788,Tennessee,Memphis,2119 E Alcy Rd,Memphis,
1191368,Tennessee,Jackson,60 Heritage Square,Jackson,
1192036,Ohio,Cleveland,E 94th St and Kinsman Rd,Cleveland,
1191279,Illinois,Chicago,7400 block of S Dante Ave,Chicago,
1190035,New York,Bronx,925 Allerton Ave,Bronx,
1189717,Illinois,Chicago,1600 block of W 65th St,Chicago,
1188597,South Carolina,Greenwood,104 Mimosa Ct,Greenwood,
1186888,Pennsylvania,Wyncote,1000 S Easton Rd,Wyncote,
1185622,Pennsylvania,Pittsburgh,5600 block of Broad St,Pittsburgh,
1185520,California,Clearlake,4786 Yarrington Ct,Clearlake,
1184607,Colorado,Thornton,4050 E 100th Ave,Thornton,
1186061,California,San Francisco,Geneva St and Mission St,San Francisco,
1184992,Missouri,Saint Louis,1515 N 13th St,,Saint Louis
1184206,Michigan,Detroit,6300 block of Vinewood St,Detroit,
1182893,New Jersey,Paterson,Mercer St and Franklin St,Paterson,
1182717,Pennsylvania,Philadelphia,North 12th Street and West Huntingdon Street,Philadelphia,
1179935,Illinois,Chicago,50 block of N Leclaire Ave,Chicago,
